"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
16641367,"천진동국밥","","Q","음식","Q01","한식","Q01A05","해장국/감자탕","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031206210000,1,"대지",621,NA,"전라남도 화순군 화순읍 삼천리 621",467904673266,"전라남도 화순군 화순읍 시장길",42,NA,"4679025031106210000042181","화순전통시장","전라남도 화순군 화순읍 시장길 42",519807,58122,"","",NA,126.983427174941,35.0590871991344
26081977,"다정호프","","Q","음식","Q09","유흥주점","Q09A01","호프/맥주","I56219","기타 주점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025028,"화순읍",4679025028208610000,1,"대지",861,NA,"전라남도 화순군 화순읍 일심리 861",467903291017,"전라남도 화순군 화순읍 알메로",84,NA,"4679025028108610000045441","화순4차서라아파트","전라남도 화순군 화순읍 알메로 84",519762,58116,"","1",NA,126.994863690357,35.0624636408134
24987811,"화순애과수원","","D","소매","D01","음/식료품소매","D01A13","청과물소매","G47214","과실 및 채소 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025022,"화순읍",4679025022201610001,1,"대지",161,1,"전라남도 화순군 화순읍 향청리 161-1",467903291032,"전라남도 화순군 화순읍 진각로",100,NA,"4679025022101610001042772","","전라남도 화순군 화순읍 진각로 100",519808,58123,"","",NA,126.985638315774,35.0602414869193
24996609,"스완","","D","소매","D05","의복의류","D05A01","일반의류","G47416","셔츠 및 기타 의복 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025023,"화순읍",4679025023202290000,1,"대지",229,NA,"전라남도 화순군 화순읍 만연리 229",467903291004,"전라남도 화순군 화순읍 광덕로",169,4,"4679025023102290000044926","","전라남도 화순군 화순읍 광덕로 169-4",519806,58125,"","",NA,126.991461518591,35.0600827179841
14238831,"완도수산","","Q","음식","Q03","일식/수산물","Q03A01","횟집","I56111","한식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031205800002,1,"대지",580,2,"전라남도 화순군 화순읍 삼천리 580-2",467903291052,"전라남도 화순군 화순읍 충의로",64,NA,"4679025031105800006042537","","전라남도 화순군 화순읍 충의로 64",519807,58136,"","1",NA,126.984776221236,35.0554928528692
16564851,"누리쌀","","D","소매","D01","음/식료품소매","D01A13","청과물소매","G47214","과실 및 채소 소매업",46,"전라남도",46790,"화순군",4679036000,"도곡면",4679036021,"도곡면",4679036021203660000,1,"대지",366,NA,"전라남도 화순군 도곡면 대곡리 366",467904673533,"전라남도 화순군 도곡면 새한실길",10,1,"4679036021103660000000001","","전라남도 화순군 도곡면 새한실길 10-1",519831,58155,"","",NA,126.931487072496,34.9967139215095
25001246,"도원씨앤씨","","D","소매","D20","의약/의료품소매","D20A01","의료용품소매","G47811","의약품 및 의료용품 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025033,"화순읍",4679025033203690002,1,"대지",369,2,"전라남도 화순군 화순읍 대리 369-2",467903291036,"전라남도 화순군 화순읍 칠충로",16,NA,"4679025033103690002000001","","전라남도 화순군 화순읍 칠충로 16",519951,58137,"","2",NA,126.974139115597,35.0531678672725
20286944,"화순시장떡방앗간","","Q","음식","Q08","제과제빵떡케익","Q08A03","떡전문","I56191","제과점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025031,"화순읍",4679025031206200005,1,"대지",620,5,"전라남도 화순군 화순읍 삼천리 620-5",467904673266,"전라남도 화순군 화순읍 시장길",37,NA,"4679025031106200005042088","","전라남도 화순군 화순읍 시장길 37",519807,58122,"","",NA,126.983043969247,35.0590479306757
16563873,"영식품","","D","소매","D01","음/식료품소매","D01A01","식료품점","G47219","기타 식료품 소매업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025035,"화순읍",4679025035203000008,1,"대지",300,8,"전라남도 화순군 화순읍 벽라리 300-8",467904673230,"전라남도 화순군 화순읍 서라실길",4,7,"4679025035103000001039996","","전라남도 화순군 화순읍 서라실길 4-7",519801,58109,"","",NA,126.964246602034,35.0544269093122
20766954,"혼마구로참치전문점","","Q","음식","Q03","일식/수산물","Q03A04","참치전문점","I56113","일식 음식점업",46,"전라남도",46790,"화순군",4679025000,"화순읍",4679025030,"화순읍",4679025030202440000,1,"대지",244,NA,"전라남도 화순군 화순읍 광덕리 244",467903291004,"전라남도 화순군 화순읍 광덕로",204,NA,"4679025023102440000045059","화순부영아파트","전라남도 화순군 화순읍 광덕로 204",519803,58134,"","",NA,126.992729203174,35.0630859365001
